date	date	date	date	date	date	date	date	date	estimated_population	city_ibge_code	confirmed_per_100k_inhabitants	death_rate
2022-03-27	AP		state	160328	2122	734	True	845731	861773	16	18604.43527	0.0132
2022-03-26	AP		state	160321	2122	733	False	845731	861773	16	18603.62300	0.0132
2022-03-25	AP		state	160314	2122	732	False	845731	861773	16	18602.81072	0.0132
2022-03-24	AP		state	160301	2122	731	False	845731	861773	16	18601.30220	0.0132
2022-03-23	AP		state	160288	2122	730	False	845731	861773	16	18599.79368	0.0132
2022-03-22	AP		state	160275	2122	729	False	845731	861773	16	18598.28516	0.0132
2022-03-21	AP		state	160265	2120	728	False	845731	861773	16	18597.12476	0.0132
2022-03-20	AP		state	160260	2120	727	False	845731	861773	16	18596.54457	0.0132
2022-03-19	AP		state	160258	2120	726	False	845731	861773	16	18596.31249	0.0132
2022-03-18	AP		state	160255	2120	725	False	845731	861773	16	18595.96437	0.0132
2022-03-17	AP		state	160248	2119	724	False	845731	861773	16	18595.15209	0.0132
2022-03-16	AP		state	160221	2119	723	False	845731	861773	16	18592.01901	0.0132
2022-03-15	AP		state	160217	2119	722	False	845731	861773	16	18591.55485	0.0132
2022-03-14	AP		state	160211	2119	721	False	845731	861773	16	18590.85861	0.0132
2022-03-13	AP		state	160210	2118	720	False	845731	861773	16	18590.74257	0.0132
2022-03-12	AP		state	160205	2118	719	False	845731	861773	16	18590.16237	0.0132
2022-03-11	AP		state	160202	2118	718	False	845731	861773	16	18589.81426	0.0132
2022-03-10	AP		state	160198	2116	717	False	845731	861773	16	18589.35010	0.0132
2022-03-09	AP		state	160169	2116	716	False	845731	861773	16	18585.98494	0.0132
2022-03-08	AP		state	160149	2113	715	False	845731	861773	16	18583.66414	0.0132
2022-03-07	AP		state	160139	2113	714	False	845731	861773	16	18582.50375	0.0132
2022-03-06	AP		state	160138	2113	713	False	845731	861773	16	18582.38771	0.0132
2022-03-05	AP		state	160135	2113	712	False	845731	861773	16	18582.03959	0.0132
2022-03-04	AP		state	160128	2109	711	False	845731	861773	16	18581.22731	0.0132
2022-03-03	AP		state	160123	2102	710	False	845731	861773	16	18580.64711	0.0131
2022-03-02	AP		state	160112	2102	709	False	845731	861773	16	18579.37067	0.0131
2022-03-01	AP		state	160104	2102	708	False	845731	861773	16	18578.44235	0.0131
2022-02-28	AP		state	160096	2102	707	False	845731	861773	16	18577.51403	0.0131
2022-02-27	AP		state	160087	2102	706	False	845731	861773	16	18576.46967	0.0131
2022-02-26	AP		state	160078	2102	705	False	845731	861773	16	18575.42532	0.0131
2022-02-25	AP		state	160072	2102	704	False	845731	861773	16	18574.72908	0.0131
2022-02-24	AP		state	160053	2102	703	False	845731	861773	16	18572.52432	0.0131
2022-02-23	AP		state	160025	2100	702	False	845731	861773	16	18569.27520	0.0131
2022-02-22	AP		state	159973	2098	701	False	845731	861773	16	18563.24113	0.0131
2022-02-21	AP		state	159929	2097	700	False	845731	861773	16	18558.13538	0.0131
2022-02-20	AP		state	159900	2097	699	False	845731	861773	16	18554.77022	0.0131
2022-02-19	AP		state	159874	2097	698	False	845731	861773	16	18551.75319	0.0131
2022-02-18	AP		state	159832	2097	697	False	845731	861773	16	18546.87951	0.0131
2022-02-17	AP		state	159765	2095	696	False	845731	861773	16	18539.10485	0.0131
